window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us,e2e_ms
28,22.528,50.05,0.24,0.24,0.015396,NORMAL,1043,34.409
29,23.04,50.05,0.24,0.24,0.013708,NORMAL,941,55.347
30,23.552,50.05,0.24,0.24,0.011159,NORMAL,1170,27.502
31,24.064,50.05,0.24,0.24,0.009634,NORMAL,853,34.124
32,24.576,50.05,0.24,0.24,0.009386,NORMAL,1000,25.664
33,25.088,50.05,0.24,0.24,0.009757,NORMAL,743,41.718
34,25.6,50.05,0.24,0.24,0.009883,NORMAL,788,159.438
35,26.112,50.05,0.24,0.24,0.009907,NORMAL,883,28.848
36,26.624,50.05,0.24,0.24,0.010183,NORMAL,772,44.309
37,27.136,50.05,0.24,0.24,0.011116,NORMAL,906,27.363
38,27.648,50.05,0.24,0.24,0.011572,NORMAL,783,28.565
39,28.16,50.05,0.24,0.24,0.011797,NORMAL,876,48.786
40,28.672,50.05,0.24,0.24,0.012841,NORMAL,779,37.621
41,29.184,50.05,0.24,0.24,0.014943,NORMAL,915,40.603
42,29.696,50.05,0.24,0.24,0.015631,NORMAL,958,39.452
43,30.208,50.05,0.24,0.24,0.014646,NORMAL,868,56.488
44,30.72,0.24,0.24,0.24,0.014706,NORMAL,849,45.072
45,31.232,0.24,0.24,0.24,0.016568,NORMAL,1038,49.2
46,31.744,0.24,0.24,0.24,0.017286,NORMAL,732,29.998
47,32.256,0.24,0.24,0.24,0.015299,NORMAL,1002,80.939
48,32.768,0.24,0.24,0.24,0.014115,NORMAL,771,135.701
49,33.28,0.24,0.24,0.24,0.014992,NORMAL,839,88.406
50,33.792,0.24,0.24,0.24,0.013578,NORMAL,997,26.943
51,34.304,0.24,0.24,0.24,0.010039,NORMAL,612,35.116
52,34.816,50.05,0.24,0.24,0.008365,NORMAL,879,28.079
53,35.328,50.05,0.24,0.24,0.00856,NORMAL,611,30.127
54,35.84,50.05,0.24,0.24,0.008325,NORMAL,851,38.498
55,36.352,50.05,0.24,0.24,0.006984,NORMAL,644,167.606
56,36.864,50.05,0.24,0.24,0.006389,NORMAL,878,37.25
57,37.376,50.05,0.24,0.24,0.006745,NORMAL,930,24.519
58,37.888,50.05,0.24,0.24,0.00717,NORMAL,863,27.974
59,38.4,50.05,0.24,0.24,0.00775,NORMAL,733,92.889
60,38.912,50.05,0.24,0.24,0.015933,NORMAL,985,31.134
61,39.424,0.24,0.24,0.24,0.0319,NORMAL,737,29.489
62,39.936,0.24,0.49,0.49,0.032317,NORMAL,863,33.144
63,40.448,0.24,0.49,0.49,0.024869,NORMAL,1000,25.907
64,40.96,0.24,0.24,0.49,0.017316,NORMAL,758,38.784
65,41.472,0.24,0.24,0.24,0.019539,NORMAL,658,27.196
66,41.984,0.24,0.24,0.49,0.027445,NORMAL,820,30.813
67,42.496,0.24,0.49,0.49,0.025636,NORMAL,878,70.007
68,43.008,0.24,0.24,0.24,0.016336,NORMAL,782,34.509
69,43.52,0.24,0.24,0.24,0.010034,NORMAL,786,54.756
70,44.032,0.24,0.24,0.24,0.008105,NORMAL,850,27.523
71,44.544,0.24,0.24,0.24,0.005275,NORMAL,935,25.879
72,45.056,0.24,0.24,0.24,0.002923,NORMAL,941,28.709
73,45.568,0.24,0.24,0.24,0.001662,NORMAL,632,26.309
74,46.08,0.24,0.24,0.24,0.001534,NORMAL,750,34.323
75,46.592,0.24,0.24,0.24,0.001737,NORMAL,849,52.343
76,47.104,0.24,0.24,0.24,0.001568,NORMAL,753,25.517
77,47.616,0.24,0.24,0.24,0.001277,NORMAL,912,23.437
78,48.128,0.24,0.24,0.24,0.001186,NORMAL,766,25.986
79,48.64,0.24,0.24,0.24,0.001422,NORMAL,753,28.444
80,49.152,0.24,0.24,0.24,0.0019,NORMAL,759,25.54
81,49.664,0.24,0.24,0.24,0.002931,NORMAL,891,28.131
82,50.176,0.24,0.24,0.24,0.00461,NORMAL,841,36.335
83,50.688,0.24,0.24,0.24,0.005722,NORMAL,960,68.519
84,51.2,0.24,0.24,0.24,0.007086,NORMAL,811,26.786
85,51.712,0.24,0.24,0.24,0.007614,NORMAL,705,119.986
86,52.224,0.24,0.24,0.24,0.00604,NORMAL,769,1459.37
87,52.736,0.24,0.24,0.24,0.004642,NORMAL,607,892.051
88,53.248,0.24,0.24,0.24,0.005029,NORMAL,740,709.383
89,53.76,0.24,0.24,0.24,0.007215,NORMAL,600,399.977
90,54.272,0.24,0.24,0.24,0.008633,NORMAL,900,90.849
91,54.784,0.24,0.24,0.24,0.008699,NORMAL,676,83.115
92,55.296,0.24,0.24,0.24,0.009364,NORMAL,862,76.49
93,55.808,0.24,0.24,0.24,0.010145,NORMAL,887,221.484
94,56.32,0.24,0.24,0.24,0.010851,NORMAL,997,23.737
95,56.832,0.24,0.24,0.24,0.010556,NORMAL,785,34.452
96,57.344,0.24,0.24,0.24,0.009675,NORMAL,907,27.041
97,57.856,0.24,0.24,0.24,0.010908,NORMAL,731,42.388
98,58.368,0.24,0.24,0.49,0.013505,NORMAL,1009,33.114
99,58.88,0.24,0.24,0.24,0.013801,NORMAL,682,24.95
100,59.392,0.24,0.24,0.24,0.011693,NORMAL,1016,31.396
