window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us
60,38.912,50.05,0.24,0.73,0.018731,NORMAL,3295
61,39.424,50.05,0.24,0.49,0.016515,NORMAL,3502
62,39.936,50.05,0.24,0.24,0.013748,NORMAL,3470
63,40.448,50.05,0.24,0.24,0.013622,NORMAL,3685
64,40.96,50.05,0.24,0.24,0.013870,NORMAL,3586
65,41.472,50.05,0.24,0.24,0.014441,NORMAL,1561
66,41.984,50.05,0.24,0.24,0.016530,NORMAL,3250
67,42.496,50.05,0.24,0.24,0.014449,NORMAL,3247
68,43.008,50.05,0.24,0.24,0.011583,NORMAL,3573
69,43.52,50.05,0.24,0.24,0.011052,NORMAL,3314
70,44.032,50.05,0.24,0.24,0.012208,NORMAL,3596
71,44.544,50.05,0.24,0.24,0.013008,NORMAL,3289
72,45.056,50.05,0.24,0.24,0.012419,NORMAL,3644
73,45.568,50.05,0.24,0.24,0.013567,NORMAL,3745
74,46.08,50.05,0.24,0.24,0.013819,NORMAL,2602
75,46.592,50.05,0.24,0.24,0.012282,NORMAL,3600
76,47.104,50.05,0.24,0.24,0.012183,NORMAL,3570
77,47.616,50.05,0.24,0.24,0.015634,NORMAL,3575
78,48.128,50.05,0.49,0.24,0.021595,NORMAL,3395
79,48.64,50.05,0.49,0.24,0.022879,NORMAL,3340
80,49.152,50.05,0.24,0.24,0.021680,NORMAL,4721
81,49.664,50.05,0.24,0.24,0.017248,NORMAL,3067
82,50.176,50.05,0.24,0.24,0.011288,NORMAL,3490
83,50.688,50.05,0.24,0.24,0.011785,NORMAL,2535
84,51.2,50.05,0.24,0.24,0.011675,NORMAL,3291
85,51.712,50.05,0.24,0.24,0.010076,NORMAL,3631
86,52.224,50.05,0.24,0.24,0.009078,NORMAL,2829
87,52.736,50.05,0.24,0.24,0.009994,NORMAL,3379
88,53.248,50.05,0.24,0.24,0.010956,NORMAL,3501
89,53.76,50.05,0.24,0.24,0.010688,NORMAL,3368
90,54.272,50.05,0.24,0.24,0.010598,NORMAL,2335
91,54.784,50.05,0.24,0.24,0.011163,NORMAL,4701
92,55.296,50.05,0.24,0.24,0.011740,NORMAL,1861
93,55.808,50.05,0.24,0.24,0.012217,NORMAL,3808
94,56.32,50.05,0.24,0.24,0.012155,NORMAL,3417
95,56.832,50.05,0.24,0.24,0.011355,NORMAL,3400
96,57.344,50.05,0.24,0.24,0.011353,NORMAL,3356
97,57.856,50.05,0.24,0.24,0.013328,NORMAL,3708
98,58.368,50.05,0.24,0.24,0.016791,NORMAL,3875
99,58.88,50.05,0.24,0.24,0.019703,NORMAL,4480
100,59.392,50.05,0.24,0.24,0.020757,NORMAL,3369
101,59.904,50.05,0.24,0.24,0.020304,NORMAL,2957
