sample_id,time_ms,fsr1,fsr2,fsr3
1515,3084,288,229,244
1516,3086,317,228,244
1517,3088,310,228,244
1518,3090,312,228,243
1519,3092,293,229,242
1520,3094,305,228,246
1521,3096,337,229,246
1522,3098,315,228,244
1523,3100,324,228,246
1524,3102,305,227,247
1525,3104,292,226,248
1526,3106,312,228,244
1527,3108,313,228,245
1528,3110,315,227,244
1529,3112,311,227,245
1530,3114,317,227,244
1531,3116,340,227,247
1532,3118,342,227,246
1533,3120,322,228,244
1534,3122,309,228,245
1535,3124,306,226,246
1536,3126,336,228,243
1537,3128,331,228,247
1538,3130,328,228,246
1539,3132,310,227,245
1540,3134,311,229,246
1541,3136,315,228,246
1542,3138,322,228,246
1543,3140,331,229,246
1544,3142,288,228,245
1545,3144,306,228,248
1546,3146,325,228,246
1547,3148,332,228,245
1548,3150,321,229,246
1549,3152,309,228,245
1550,3154,313,230,247
1551,3156,338,228,246
1552,3158,329,228,246
1553,3160,314,228,246
1554,3162,295,227,247
1555,3164,293,228,247
1556,3166,313,228,247
1557,3168,306,228,246
1558,3170,305,228,246
1559,3172,310,227,248
1560,3174,304,228,245
1561,3176,346,228,246
1562,3178,327,226,245
1563,3180,308,227,245
1564,3182,289,227,245
1565,3184,298,228,246
1566,3186,318,228,247
1567,3188,309,228,246
1568,3190,309,227,246
1569,3192,307,228,246
1570,3194,317,228,248
1571,3196,340,228,246
1572,3198,336,229,246
1573,3200,318,228,245
1574,3202,300,227,246
1575,3204,291,227,244
1576,3206,311,228,244
1577,3208,303,228,246
1578,3210,312,228,245
1579,3212,328,227,244
1580,3214,311,225,246
1581,3216,337,227,246
1582,3218,330,228,246
1583,3220,323,227,245
1584,3222,298,229,245
1585,3224,299,226,245
1586,3226,313,227,245
1587,3228,319,226,244
1588,3230,324,227,245
1589,3232,318,228,245
1590,3234,325,226,245
1591,3236,339,227,246
1592,3238,323,229,247
1593,3240,322,227,246
1594,3242,296,226,242
1595,3244,293,227,244
1596,3246,319,227,245
1597,3248,322,228,248
1598,3250,317,225,246
1599,3252,325,226,245
1600,3254,323,227,246
1601,3256,354,230,246
1602,3258,342,227,246
1603,3260,326,226,245
1604,3262,317,226,247
1605,3264,298,226,246
1606,3266,325,225,243
1607,3268,330,226,246
1608,3270,327,226,245
1609,3272,318,225,247
1610,3274,316,226,246
1611,3276,347,226,246
1612,3278,345,226,248
1613,3280,332,227,245
1614,3282,310,226,245
1615,3284,307,225,247
1616,3286,324,225,247
1617,3288,317,227,246
1618,3290,316,227,246
1619,3292,320,225,244
1620,3294,333,226,246
1621,3296,352,226,246
1622,3298,339,227,245
1623,3300,321,226,245
1624,3302,296,226,246
1625,3304,292,225,245
1626,3306,318,225,245
1627,3308,322,226,245
1628,3310,319,226,246
1629,3312,324,225,243
1630,3314,337,226,245
1631,3316,369,227,245
1632,3318,344,226,246
1633,3320,330,226,245
1634,3322,311,226,245
1635,3324,301,225,243
1636,3326,326,225,244
1637,3328,327,225,241
1638,3330,320,225,246
1639,3332,323,226,245
1640,3334,331,225,245
1641,3336,337,226,245
1642,3338,339,226,244
1643,3340,327,225,244
1644,3342,313,226,247
1645,3344,316,225,245
1646,3346,323,225,253
1647,3348,341,224,247
1648,3350,333,226,244
1649,3352,335,225,245
1650,3354,324,225,245
1651,3356,355,227,246
1652,3358,357,227,247
1653,3360,337,225,246
1654,3362,319,226,248
1655,3364,310,226,245
1656,3366,334,226,246
1657,3368,329,224,245
1658,3370,337,226,248
1659,3372,334,226,248
1660,3374,335,226,245
1661,3376,352,226,246
1662,3378,361,227,247
1663,3380,338,227,246
1664,3382,309,226,243
1665,3384,301,227,246
1666,3386,337,227,245
1667,3388,338,227,246
1668,3390,332,226,246
1669,3392,336,226,245
1670,3394,328,225,245
1671,3396,352,225,246
1672,3398,347,225,246
1673,3400,330,226,246
1674,3402,316,225,247
1675,3404,303,225,248
1676,3406,332,225,246
1677,3408,329,226,247
1678,3410,317,225,245
1679,3412,315,225,248
1680,3414,322,225,245
1681,3416,346,225,247
1682,3418,335,225,247
1683,3420,321,225,246
1684,3422,295,225,246
1685,3424,299,225,248
1686,3426,318,225,248
1687,3428,305,224,245
1688,3430,320,224,246
1689,3432,320,225,247
1690,3434,320,225,249
1691,3436,349,224,247
1692,3438,336,225,247
1693,3440,330,225,246
1694,3442,299,225,247
1695,3444,293,225,245
1696,3446,319,225,247
1697,3448,320,225,245
1698,3450,319,224,246
1699,3452,320,224,248
1700,3454,328,225,246
1701,3456,349,225,247
1702,3458,353,225,248
1703,3460,322,224,246
1704,3462,298,224,246
1705,3464,294,225,245
1706,3466,321,225,243
1707,3468,320,225,246
1708,3470,314,224,245
1709,3472,318,225,246
1710,3474,313,224,246
1711,3476,346,225,244
1712,3478,343,224,245
1713,3480,319,225,246
1714,3482,296,225,247
1715,3484,286,224,245
1716,3486,321,225,248
1717,3488,320,224,245
1718,3490,320,225,248
1719,3492,321,225,246
1720,3494,315,224,246
1721,3496,357,225,247
1722,3498,345,225,247
1723,3500,337,225,246
1724,3502,308,224,247
1725,3504,299,225,246
1726,3506,323,225,246
1727,3508,322,224,246
1728,3510,338,225,246
1729,3512,325,224,247
1730,3514,323,225,245
1731,3516,344,225,247
1732,3518,345,226,246
1733,3520,326,225,244
1734,3522,304,224,246
1735,3524,314,225,246
1736,3526,309,226,243
1737,3528,318,225,247
1738,3530,322,224,246
1739,3532,320,225,246
1740,3534,322,224,246
1741,3536,354,225,245
1742,3538,358,225,246
1743,3540,327,226,247
1744,3542,315,224,245
1745,3544,310,225,244
1746,3546,330,225,243
1747,3548,328,224,246
1748,3550,323,225,247
1749,3552,323,223,246
1750,3554,339,223,246
1751,3556,354,224,245
1752,3558,347,223,245
1753,3560,337,224,247
1754,3562,305,223,245
1755,3564,299,223,244
1756,3566,327,223,245
1757,3568,327,222,246
1758,3570,337,222,244
1759,3572,328,221,246
1760,3574,321,221,244
1761,3576,359,222,246
1762,3578,346,222,245
1763,3580,325,222,246
1764,3582,301,222,246
1765,3584,303,222,247
1766,3586,320,222,246
1767,3588,321,222,243
1768,3590,319,221,245
1769,3592,325,220,244
1770,3594,321,221,247
1771,3596,338,221,248
1772,3598,330,219,245
1773,3600,321,220,245
1774,3602,299,221,244
1775,3604,305,221,242
1776,3606,324,220,245
1777,3608,316,219,244
1778,3610,320,219,245
1779,3612,335,220,243
1780,3614,304,220,245
1781,3616,354,220,245
1782,3618,345,220,241
1783,3620,328,220,244
1784,3622,301,220,245
1785,3624,309,221,244
1786,3626,327,220,244
1787,3628,326,221,244
1788,3630,334,221,244
1789,3632,317,221,246
1790,3634,323,220,246
1791,3636,352,221,247
1792,3638,344,220,245
1793,3640,329,220,243
1794,3642,300,220,244
1795,3644,302,220,243
1796,3646,324,220,246
